term,proposed_topic,source_batch
Filter-bank equalizer,Audio DSP & Coding Signal Terms (Standards),Standards list
Fine-structure cue,Music Info Retrieval & Machine Listening (Standards),Standards list
Finite-difference time-domain acoustics,Room & Building Acoustics (Standards),Standards list
First-arrival time,General Audio & Signal Terms (Standards),Standards list
First-wavefront law,General Audio & Signal Terms (Standards),Standards list
Fixed-point audio sample,General Audio & Signal Terms (Standards),Standards list
Fletcher-Munson effect,General Audio & Signal Terms (Standards),Standards list
Floating intermediate frame,MPEG Audio Systems & Container Formats (Standards),Standards list
Foldback level,General Audio & Signal Terms (Standards),Standards list
Formant Transition Cue,Psychoacoustics & Audiology (Standards),Standards list
Forward-backward masking,Psychoacoustics & Hearing (Standards),Standards list
Frame loss concealment,MPEG Audio Systems & Container Formats (Standards),Standards list
Free-field correction,Acoustic Measurement & Metrology (Standards),Standards list
Free-field method,General Audio & Signal Terms (Standards),Standards list
Free-field sensitivity,Acoustic Measurement & Metrology (Standards),Standards list
Frequency Selectivity,General Audio & Signal Terms (Standards),Standards list
Frequency band of interest,General Audio & Signal Terms (Standards),Standards list
Frequency-domain audio coding,Perceptual Audio Coding (Standards),Standards list
Frequency-following response,General Audio & Signal Terms (Standards),Standards list
Frequency-warping,General Audio & Signal Terms (Standards),Standards list
Fundamental-frequency contour,General Audio & Signal Terms (Standards),Standards list
Gap detection threshold,Psychoacoustics & Hearing (Standards),Standards list
Gated loudness,Broadcast Loudness & Compliance,Standards list
Gaussian mixture model,General Audio & Signal Terms (Standards),Standards list
Generalized cross-correlation,Audio DSP & Coding Signal Terms (Standards),Standards list
Generalized sidelobe canceller,General Audio & Signal Terms (Standards),Standards list
Geometric acoustics,Room & Building Acoustics (Standards),Standards list
Global motion parameter,General Audio & Signal Terms (Standards),Standards list
Grouping cue,Psychoacoustics & Audiology (Standards),Standards list
Half-power bandwidth,General Audio & Signal Terms (Standards),Standards list
Harmonic-percussive source separation,Music Info Retrieval & Machine Listening (Standards),Standards list
Head-related impulse response,Psychoacoustics & Hearing (Standards),Standards list
Hearing level,Psychoacoustics & Audiology (Standards),Standards list
Hearing threshold level,Psychoacoustics & Audiology (Standards),Standards list
High-order ambisonics,"Immersive, Object & Scene Audio (Standards)",Standards list
Higher-order ambisonic coefficient,"Immersive, Object & Scene Audio (Standards)",Standards list
Homomorphic deconvolution,Audio DSP & Coding Signal Terms (Standards),Standards list
Huffman codebook,Perceptual Audio Coding (Standards),Standards list
Hybrid filter bank,Audio DSP & Coding Signal Terms (Standards),Standards list
Immersive audio bitstream,"Immersive, Object & Scene Audio (Standards)",Standards list
Impulsive noise,General Audio & Signal Terms (Standards),Standards list
In-head localization,Music Info Retrieval & Machine Listening (Standards),Standards list
Informational Masking,Psychoacoustics & Hearing (Standards),Standards list
Inharmonicity coefficient,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Insert loss,General Audio & Signal Terms (Standards),Standards list
Insertion gain,General Audio & Signal Terms (Standards),Standards list
Instantaneous frequency,General Audio & Signal Terms (Standards),Standards list
Integrated loudness,Broadcast Loudness & Compliance,Standards list
Intensity Discrimination,General Audio & Signal Terms (Standards),Standards list
Intensity stereo,General Audio & Signal Terms (Standards),Standards list
Interaural cross-correlation coefficient,Psychoacoustics & Hearing (Standards),Standards list
Interaural intensity difference,Psychoacoustics & Hearing (Standards),Standards list
Interaural phase difference,Psychoacoustics & Hearing (Standards),Standards list
Interchannel coherence,Audio DSP & Coding Signal Terms (Standards),Standards list
Interchannel level difference,General Audio & Signal Terms (Standards),Standards list
Interchannel prediction,General Audio & Signal Terms (Standards),Standards list
Interchannel time difference,General Audio & Signal Terms (Standards),Standards list
Internal noise of the auditory system,Psychoacoustics & Hearing (Standards),Standards list
Inverse constant-Q transform,General Audio & Signal Terms (Standards),Standards list
Ipsilateral masking,Psychoacoustics & Hearing (Standards),Standards list
Isophonic contour,Psychoacoustics & Hearing (Standards),Standards list
Iterative closest point registration,General Audio & Signal Terms (Standards),Standards list
Joint stereo coding,Perceptual Audio Coding (Standards),Standards list
K-weighting,Broadcast Loudness & Compliance,Standards list
Karhunen-Loeve transform,General Audio & Signal Terms (Standards),Standards list
Key profile,Music Info Retrieval & Machine Listening (Standards),Standards list
Kurtosis of noise,General Audio & Signal Terms (Standards),Standards list
Late lateral energy,Room & Building Acoustics (Standards),Standards list
Lateral energy fraction,Room & Building Acoustics (Standards),Standards list
Lateral gain,Room & Building Acoustics (Standards),Standards list
Lateralization,Room & Building Acoustics (Standards),Standards list
Leakage current test,General Audio & Signal Terms (Standards),Standards list
Level-dependent frequency response,General Audio & Signal Terms (Standards),Standards list
Line source array,General Audio & Signal Terms (Standards),Standards list
Linear-phase filter,Audio DSP & Coding Signal Terms (Standards),Standards list
Localization blur,Music Info Retrieval & Machine Listening (Standards),Standards list
Log-area ratio,General Audio & Signal Terms (Standards),Standards list
Log-mel spectrogram,General Audio & Signal Terms (Standards),Standards list
Lombard effect,General Audio & Signal Terms (Standards),Standards list
Long-term average spectrum,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Lossless coding mode,Perceptual Audio Coding (Standards),Standards list
Loudness range,Broadcast Loudness & Compliance,Standards list
Loudness recruitment,Broadcast Loudness & Compliance,Standards list
Loudspeaker sensitivity,Acoustic Measurement & Metrology (Standards),Standards list
Low-complexity profile,General Audio & Signal Terms (Standards),Standards list
Low-frequency effects channel,General Audio & Signal Terms (Standards),Standards list
Low-frequency oscillator rate,General Audio & Signal Terms (Standards),Standards list
Masker level,General Audio & Signal Terms (Standards),Standards list
Masking pattern,Psychoacoustics & Hearing (Standards),Standards list
Masking release,Psychoacoustics & Hearing (Standards),Standards list
Matrix decoding,Perceptual Audio Coding (Standards),Standards list
Maximum length sequence,General Audio & Signal Terms (Standards),Standards list
Maximum sound pressure level,General Audio & Signal Terms (Standards),Standards list
Mean opinion score,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Mel-frequency cepstral coefficient,Audio DSP & Coding Signal Terms (Standards),Standards list
Metadata delivery unit,Audio Metadata & File Formats (Standards),Standards list
Middle-ear transfer function,General Audio & Signal Terms (Standards),Standards list
Minimum audible angle,General Audio & Signal Terms (Standards),Standards list
Minimum audible field,General Audio & Signal Terms (Standards),Standards list
Minimum audible pressure,General Audio & Signal Terms (Standards),Standards list
Minimum phase response,General Audio & Signal Terms (Standards),Standards list
Modulation masking,Psychoacoustics & Hearing (Standards),Standards list
Modulation transfer function,General Audio & Signal Terms (Standards),Standards list
Monaural cue,General Audio & Signal Terms (Standards),Standards list
Monitoring reference level,General Audio & Signal Terms (Standards),Standards list
Mother wavelet,General Audio & Signal Terms (Standards),Standards list
Multichannel audio coding,Perceptual Audio Coding (Standards),Standards list
Multidimensional scaling of timbre,Psychoacoustics & Hearing (Standards),Standards list
Multitalker babble,General Audio & Signal Terms (Standards),Standards list
Multitrack stem,General Audio & Signal Terms (Standards),Standards list
Narrowband noise,General Audio & Signal Terms (Standards),Standards list
Near-field criterion,General Audio & Signal Terms (Standards),Standards list
Negative Level Difference,General Audio & Signal Terms (Standards),Standards list
Noise criterion curve,General Audio & Signal Terms (Standards),Standards list
Noise gate threshold,Psychoacoustics & Hearing (Standards),Standards list
Noise-reduction coefficient,General Audio & Signal Terms (Standards),Standards list
Non-negative matrix factorization,Music Info Retrieval & Machine Listening (Standards),Standards list
Nonlinear distortion measure,General Audio & Signal Terms (Standards),Standards list
Normalized loudness,Broadcast Loudness & Compliance,Standards list
Object priority,"Immersive, Object & Scene Audio (Standards)",Standards list
Octave-band analysis,Acoustic Measurement & Metrology (Standards),Standards list
Off-axis response,General Audio & Signal Terms (Standards),Standards list
Onset asynchrony,Music Info Retrieval & Machine Listening (Standards),Standards list
Onset detection function,Music Info Retrieval & Machine Listening (Standards),Standards list
Open-plan office acoustics,Room & Building Acoustics (Standards),Standards list
Optimum reverberation time,Psychoacoustics & Hearing (Standards),Standards list
Order of an ambisonic system,"Immersive, Object & Scene Audio (Standards)",Standards list
Otoacoustic emission,Room & Building Acoustics (Standards),Standards list
Overlap-add reconstruction,General Audio & Signal Terms (Standards),Standards list
Oversampling ratio,Audio DSP & Coding Signal Terms (Standards),Standards list
Parametric stereo,Perceptual Audio Coding (Standards),Standards list
Partial loudness,Broadcast Loudness & Compliance,Standards list
Peak program meter,General Audio & Signal Terms (Standards),Standards list
