term,final_topic,source_batch
Detection theory,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Deterministic-plus-stochastic model,"Standards — Room, Building, Environmental & Measurement",Standards list
Diagnostic Rhyme Test,"Standards — Room, Building, Environmental & Measurement",Standards list
Dialogue enhancement,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Dialogue normalization,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Dichotic Pitch,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Difference limen for frequency,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Difference limen for intensity,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Diffraction coefficient,"Standards — Coding, Systems, Metadata & Transport",Standards list
Diffuse-field equalization,Standards — General Acoustics & Signal Terms,Standards list
Diffuse-field frequency response,Standards — General Acoustics & Signal Terms,Standards list
Diffuse-field sensitivity,"Standards — Room, Building, Environmental & Measurement",Standards list
Directional loudness,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Directional weighting,Standards — General Acoustics & Signal Terms,Standards list
Discrete cosine transform coefficient,Standards — General Acoustics & Signal Terms,Standards list
Discrete-time analytic signal,"Standards — Coding, Systems, Metadata & Transport",Standards list
Dispersion relation,Standards — General Acoustics & Signal Terms,Standards list
Displacement transducer,Standards — General Acoustics & Signal Terms,Standards list
Distance attenuation model,"Standards — Room, Building, Environmental & Measurement",Standards list
Distortion product otoacoustic emission,"Standards — Room, Building, Environmental & Measurement",Standards list
Divergence loss,"Standards — Room, Building, Environmental & Measurement",Standards list
Dominant Frequency Region,Standards — General Acoustics & Signal Terms,Standards list
Double-blind triple-stimulus test,"Standards — Room, Building, Environmental & Measurement",Standards list
Downmix coefficient,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Downward Spread of Masking,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Drift-corrected clock,"Standards — Coding, Systems, Metadata & Transport",Standards list
Dry sound,Standards — General Acoustics & Signal Terms,Standards list
Dual-mono content,Standards — General Acoustics & Signal Terms,Standards list
Duplex Theory,Standards — General Acoustics & Signal Terms,Standards list
Duration model,Standards — General Acoustics & Signal Terms,Standards list
Dynamic Range Control,Standards — General Acoustics & Signal Terms,Standards list
Ear canal resonance,Standards — General Acoustics & Signal Terms,Standards list
Echo threshold,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Effective perceived noise level,Standards — General Acoustics & Signal Terms,Standards list
Emission sound pressure level,Standards — General Acoustics & Signal Terms,Standards list
Encoded bitstream,"Standards — Coding, Systems, Metadata & Transport",Standards list
Energy decay relief,Standards — General Acoustics & Signal Terms,Standards list
Ensemble duration,Standards — General Acoustics & Signal Terms,Standards list
Envelope following response,"Standards — Coding, Systems, Metadata & Transport",Standards list
Envelopment,"Standards — Room, Building, Environmental & Measurement",Standards list
Equal-temperament deviation,Standards — General Acoustics & Signal Terms,Standards list
Equivalent continuous sound level,Standards — General Acoustics & Signal Terms,Standards list
Equivalent rectangular bandwidth,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Equivalent sound absorption area,"Standards — Room, Building, Environmental & Measurement",Standards list
Error concealment,Standards — General Acoustics & Signal Terms,Standards list
Excess attenuation,"Standards — Room, Building, Environmental & Measurement",Standards list
Excitation pattern,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Exposure action value,Standards — General Acoustics & Signal Terms,Standards list
Extended stereo image,Standards — General Acoustics & Signal Terms,Standards list
Extensible metadata scheme,"Standards — Coding, Systems, Metadata & Transport",Standards list
External-ear transfer function,Standards — General Acoustics & Signal Terms,Standards list
Far-field criterion,Standards — General Acoustics & Signal Terms,Standards list
Fast time weighting,Standards — General Acoustics & Signal Terms,Standards list
Feature-space maximum-likelihood linear regression,Standards — General Acoustics & Signal Terms,Standards list
Field calibration,Standards — General Acoustics & Signal Terms,Standards list
Filter bank,"Standards — Coding, Systems, Metadata & Transport",Standards list
Filter-bank equalizer,"Standards — Coding, Systems, Metadata & Transport",Standards list
Fine-structure cue,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Finite-difference time-domain acoustics,"Standards — Room, Building, Environmental & Measurement",Standards list
First-arrival time,Standards — General Acoustics & Signal Terms,Standards list
First-wavefront law,Standards — General Acoustics & Signal Terms,Standards list
Fixed-point audio sample,Standards — General Acoustics & Signal Terms,Standards list
Fletcher-Munson effect,Standards — General Acoustics & Signal Terms,Standards list
Floating intermediate frame,"Standards — Coding, Systems, Metadata & Transport",Standards list
Foldback level,Standards — General Acoustics & Signal Terms,Standards list
Formant Transition Cue,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Forward-backward masking,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Frame loss concealment,"Standards — Coding, Systems, Metadata & Transport",Standards list
Free-field correction,"Standards — Room, Building, Environmental & Measurement",Standards list
Free-field method,Standards — General Acoustics & Signal Terms,Standards list
Free-field sensitivity,"Standards — Room, Building, Environmental & Measurement",Standards list
Frequency Selectivity,Standards — General Acoustics & Signal Terms,Standards list
Frequency band of interest,Standards — General Acoustics & Signal Terms,Standards list
Frequency-domain audio coding,"Standards — Coding, Systems, Metadata & Transport",Standards list
Frequency-following response,Standards — General Acoustics & Signal Terms,Standards list
Frequency-warping,Standards — General Acoustics & Signal Terms,Standards list
Fundamental-frequency contour,Standards — General Acoustics & Signal Terms,Standards list
Gap detection threshold,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Gated loudness,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Gaussian mixture model,Standards — General Acoustics & Signal Terms,Standards list
Generalized cross-correlation,"Standards — Coding, Systems, Metadata & Transport",Standards list
Generalized sidelobe canceller,Standards — General Acoustics & Signal Terms,Standards list
Geometric acoustics,"Standards — Room, Building, Environmental & Measurement",Standards list
Global motion parameter,Standards — General Acoustics & Signal Terms,Standards list
Grouping cue,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Half-power bandwidth,Standards — General Acoustics & Signal Terms,Standards list
Harmonic-percussive source separation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Head-related impulse response,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Hearing level,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Hearing threshold level,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
High-order ambisonics,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Higher-order ambisonic coefficient,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Homomorphic deconvolution,"Standards — Coding, Systems, Metadata & Transport",Standards list
Huffman codebook,"Standards — Coding, Systems, Metadata & Transport",Standards list
Hybrid filter bank,"Standards — Coding, Systems, Metadata & Transport",Standards list
Immersive audio bitstream,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Impulsive noise,Standards — General Acoustics & Signal Terms,Standards list
In-head localization,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Informational Masking,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Inharmonicity coefficient,"Standards — Coding, Systems, Metadata & Transport",Standards list
Insert loss,Standards — General Acoustics & Signal Terms,Standards list
Insertion gain,Standards — General Acoustics & Signal Terms,Standards list
Instantaneous frequency,Standards — General Acoustics & Signal Terms,Standards list
Integrated loudness,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Intensity Discrimination,Standards — General Acoustics & Signal Terms,Standards list
Intensity stereo,Standards — General Acoustics & Signal Terms,Standards list
Interaural cross-correlation coefficient,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Interaural intensity difference,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Interaural phase difference,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Interchannel coherence,"Standards — Coding, Systems, Metadata & Transport",Standards list
Interchannel level difference,Standards — General Acoustics & Signal Terms,Standards list
Interchannel prediction,Standards — General Acoustics & Signal Terms,Standards list
Interchannel time difference,Standards — General Acoustics & Signal Terms,Standards list
Internal noise of the auditory system,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Inverse constant-Q transform,Standards — General Acoustics & Signal Terms,Standards list
