term,landing_topic,status,source_batch
Confusion neighborhood,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Content dependency index,Standards — General Acoustics & Signal Terms,NEW,Standards list
Content kind,Standards — General Acoustics & Signal Terms,NEW,Standards list
Continuous descending method,Standards — General Acoustics & Signal Terms,NEW,Standards list
Continuous rating scale,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Contralateral routing of signals,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Contrast gain control,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Controlled acoustical environment,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Conversational level,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Core coder,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Core experiment,Standards — General Acoustics & Signal Terms,NEW,Standards list
Coupled channel,Standards — General Acoustics & Signal Terms,NEW,Standards list
Critical Bandwidth,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Critical ratio,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Cross-adaptive processing,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Cross-correlation lag,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Cross-fade window,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Cross-modal binding,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Cross-modulation distortion,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Cue integration,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Cumulative distribution of exposure,Standards — General Acoustics & Signal Terms,NEW,Standards list
Cut-off frequency of a filter,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Damping ratio of a resonator,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Data-driven room correction,Standards — General Acoustics & Signal Terms,NEW,Standards list
Dead room,Standards — General Acoustics & Signal Terms,NEW,Standards list
Decibel full scale,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Decibel relative to sound power,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Decision-directed estimation,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Decoded audio,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Decorrelation filter,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Dedicated metadata channel,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Deep clustering,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Delay-and-sum beamformer,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Delayed masking,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Denormalized number,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Depth of modulation,Standards — General Acoustics & Signal Terms,NEW,Standards list
Descriptor scheme,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Detection efficiency,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Detection theory,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Deterministic-plus-stochastic model,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Diagnostic Rhyme Test,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Dialogue enhancement,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Dialogue normalization,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Dichotic Pitch,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Difference limen for frequency,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Difference limen for intensity,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Diffraction coefficient,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Diffuse-field equalization,Standards — General Acoustics & Signal Terms,NEW,Standards list
Diffuse-field frequency response,Standards — General Acoustics & Signal Terms,NEW,Standards list
Diffuse-field sensitivity,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Directional loudness,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Directional weighting,Standards — General Acoustics & Signal Terms,NEW,Standards list
Discrete cosine transform coefficient,Standards — General Acoustics & Signal Terms,NEW,Standards list
Discrete-time analytic signal,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Dispersion relation,Standards — General Acoustics & Signal Terms,NEW,Standards list
Displacement transducer,Standards — General Acoustics & Signal Terms,NEW,Standards list
Distance attenuation model,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Distortion product otoacoustic emission,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Divergence loss,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Dominant Frequency Region,Standards — General Acoustics & Signal Terms,NEW,Standards list
Double-blind triple-stimulus test,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Downmix coefficient,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Downward Spread of Masking,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Drift-corrected clock,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Dry sound,Standards — General Acoustics & Signal Terms,NEW,Standards list
Dual-mono content,Standards — General Acoustics & Signal Terms,NEW,Standards list
Duplex Theory,Standards — General Acoustics & Signal Terms,NEW,Standards list
Duration model,Standards — General Acoustics & Signal Terms,NEW,Standards list
Dynamic Range Control,Standards — General Acoustics & Signal Terms,NEW,Standards list
Ear canal resonance,Standards — General Acoustics & Signal Terms,NEW,Standards list
Echo threshold,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Effective perceived noise level,Standards — General Acoustics & Signal Terms,NEW,Standards list
Emission sound pressure level,Standards — General Acoustics & Signal Terms,NEW,Standards list
Encoded bitstream,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Energy decay relief,Standards — General Acoustics & Signal Terms,NEW,Standards list
Ensemble duration,Standards — General Acoustics & Signal Terms,NEW,Standards list
Envelope following response,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Envelopment,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Equal-temperament deviation,Standards — General Acoustics & Signal Terms,NEW,Standards list
Equivalent continuous sound level,Standards — General Acoustics & Signal Terms,NEW,Standards list
Equivalent rectangular bandwidth,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Equivalent sound absorption area,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Error concealment,Standards — General Acoustics & Signal Terms,NEW,Standards list
Excess attenuation,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Excitation pattern,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Exposure action value,Standards — General Acoustics & Signal Terms,NEW,Standards list
Extended stereo image,Standards — General Acoustics & Signal Terms,NEW,Standards list
Extensible metadata scheme,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
External-ear transfer function,Standards — General Acoustics & Signal Terms,NEW,Standards list
Far-field criterion,Standards — General Acoustics & Signal Terms,NEW,Standards list
Fast time weighting,Standards — General Acoustics & Signal Terms,NEW,Standards list
Feature-space maximum-likelihood linear regression,Standards — General Acoustics & Signal Terms,NEW,Standards list
Field calibration,Standards — General Acoustics & Signal Terms,NEW,Standards list
Filter bank,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Filter-bank equalizer,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Fine-structure cue,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Finite-difference time-domain acoustics,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
First-arrival time,Standards — General Acoustics & Signal Terms,NEW,Standards list
First-wavefront law,Standards — General Acoustics & Signal Terms,NEW,Standards list
Fixed-point audio sample,Standards — General Acoustics & Signal Terms,NEW,Standards list
Fletcher-Munson effect,Standards — General Acoustics & Signal Terms,NEW,Standards list
Floating intermediate frame,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Foldback level,Standards — General Acoustics & Signal Terms,NEW,Standards list
Formant Transition Cue,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Forward-backward masking,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Frame loss concealment,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Free-field correction,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Free-field method,Standards — General Acoustics & Signal Terms,NEW,Standards list
Free-field sensitivity,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Frequency Selectivity,Standards — General Acoustics & Signal Terms,NEW,Standards list
Frequency band of interest,Standards — General Acoustics & Signal Terms,NEW,Standards list
Frequency-domain audio coding,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Frequency-following response,Standards — General Acoustics & Signal Terms,NEW,Standards list
Frequency-warping,Standards — General Acoustics & Signal Terms,NEW,Standards list
Fundamental-frequency contour,Standards — General Acoustics & Signal Terms,NEW,Standards list
Gap detection threshold,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Gated loudness,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Gaussian mixture model,Standards — General Acoustics & Signal Terms,NEW,Standards list
Generalized cross-correlation,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Generalized sidelobe canceller,Standards — General Acoustics & Signal Terms,NEW,Standards list
Geometric acoustics,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Global motion parameter,Standards — General Acoustics & Signal Terms,NEW,Standards list
Grouping cue,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Half-power bandwidth,Standards — General Acoustics & Signal Terms,NEW,Standards list
Harmonic-percussive source separation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Head-related impulse response,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Hearing level,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Hearing threshold level,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
High-order ambisonics,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Higher-order ambisonic coefficient,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Homomorphic deconvolution,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Huffman codebook,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Hybrid filter bank,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
